ts	cause	analyzer_kind	analyzer_name	uid	fuid	id.orig_h	id.orig_p	id.resp_h	id.resp_p	failure_reason	failure_data
1689697251.098912	violation	protocol	SSH	CvOAWO2nJK9YAr7bwd	-	192.168.144.138	53466	192.168.144.133	22	Binpac exception: binpac exception: invalid index for case: SSH_Key_Exchange: 3	-
1689697251.118576	violation	protocol	SSH	CvOAWO2nJK9YAr7bwd	-	192.168.144.138	53466	192.168.144.133	22	Binpac exception: binpac exception: invalid index for case: SSH_Key_Exchange: 3	-
1689697251.127413	violation	protocol	SSH	CvOAWO2nJK9YAr7bwd	-	192.168.144.138	53466	192.168.144.133	22	Binpac exception: binpac exception: invalid index for case: SSH_Key_Exchange: 3	-
1689697251.138940	violation	protocol	SSH	CvOAWO2nJK9YAr7bwd	-	192.168.144.138	53466	192.168.144.133	22	Binpac exception: binpac exception: invalid index for case: SSH_Key_Exchange: 3	-
1689697252.862938	violation	protocol	SSH	CSFFpy1jR90cml8huc	-	192.168.144.138	53476	192.168.144.133	22	Binpac exception: binpac exception: invalid index for case: SSH_Key_Exchange: 3	-
1689697252.874921	violation	protocol	SSH	CSFFpy1jR90cml8huc	-	192.168.144.138	53476	192.168.144.133	22	Binpac exception: binpac exception: invalid index for case: SSH_Key_Exchange: 3	-
1689697252.928026	violation	protocol	SSH	CSFFpy1jR90cml8huc	-	192.168.144.138	53476	192.168.144.133	22	Binpac exception: binpac exception: invalid index for case: SSH_Key_Exchange: 3	-
1689697252.958607	violation	protocol	SSH	CSFFpy1jR90cml8huc	-	192.168.144.138	53476	192.168.144.133	22	Binpac exception: binpac exception: invalid index for case: SSH_Key_Exchange: 3	-
1689697252.961476	violation	protocol	SSH	CSFFpy1jR90cml8huc	-	192.168.144.138	53476	192.168.144.133	22	Binpac exception: binpac exception: invalid index for case: SSH_Key_Exchange: 3	-
1689697252.982730	violation	protocol	SSH	CSFFpy1jR90cml8huc	-	192.168.144.138	53476	192.168.144.133	22	Binpac exception: binpac exception: invalid index for case: SSH_Key_Exchange: 3	-
1689697254.702602	violation	protocol	SSH	CMHVpG18KFdEMKcCN3	-	192.168.144.138	53482	192.168.144.133	22	Binpac exception: binpac exception: invalid index for case: SSH_Key_Exchange: 3	-
1689697254.758718	violation	protocol	SSH	CMHVpG18KFdEMKcCN3	-	192.168.144.138	53482	192.168.144.133	22	Binpac exception: binpac exception: invalid index for case: SSH_Key_Exchange: 3	-
1689697254.831841	violation	protocol	SSH	CMHVpG18KFdEMKcCN3	-	192.168.144.138	53482	192.168.144.133	22	Binpac exception: binpac exception: invalid index for case: SSH_Key_Exchange: 3	-
1689697254.878598	violation	protocol	SSH	CMHVpG18KFdEMKcCN3	-	192.168.144.138	53482	192.168.144.133	22	Binpac exception: binpac exception: invalid index for case: SSH_Key_Exchange: 3	-
1689697254.903125	violation	protocol	SSH	CMHVpG18KFdEMKcCN3	-	192.168.144.138	53482	192.168.144.133	22	Binpac exception: binpac exception: invalid index for case: SSH_Key_Exchange: 3	-
