ts	uid	id.orig_h	id.orig_p	id.resp_h	id.resp_p	proto	service	duration	orig_bytes	resp_bytes	conn_state	local_orig	local_resp	missed_bytes	history	orig_pkts	orig_ip_bytes	resp_pkts	resp_ip_bytes	tunnel_parents
1689697210.582529	CQk9Fj7mDUMEDypsk	192.168.144.131	61052	192.168.144.133	2042	tcp	-	0.000001	0	0	RSTRH	T	T	0	r	1	40	1	40	-
1689697210.582530	CjqBw11WPnphyykSWa	192.168.144.131	61052	192.168.144.133	1641	tcp	-	-	-	-	RSTRH	T	T	0	r	1	40	1	40	-
1689697210.582530	CsdYDi3UW7CxUndRG4	192.168.144.131	61052	192.168.144.133	5414	tcp	-	0.000021	0	0	RSTRH	T	T	0	r	1	40	1	40	-
1689697210.582530	ChGCOlDiUhxrV2Rfi	192.168.144.131	61052	192.168.144.133	1122	tcp	-	0.000757	0	0	RSTRH	T	T	0	r	1	40	1	40	-
1689697210.582552	CZIU5y3EsQU3UT8Dh	192.168.144.131	61052	192.168.144.133	2008	tcp	-	0.000887	0	0	RSTRH	T	T	0	r	1	40	1	40	-
1689697210.582552	CFBAoc4tLapaSHmR48	192.168.144.131	61052	192.168.144.133	3011	tcp	-	0.000888	0	0	RSTRH	T	T	0	r	1	40	1	40	-
1689697210.582552	CDVeN81IxeDxqv6Hqf	192.168.144.131	61052	192.168.144.133	340	tcp	-	0.000888	0	0	RSTRH	T	T	0	r	1	40	1	40	-
1689697210.582552	Ck8jyP3jamtzNdHSF1	192.168.144.131	61052	192.168.144.133	6646	tcp	-	0.000888	0	0	RSTRH	T	T	0	r	1	40	1	40	-
1689697210.582729	CnXb7I2Msf6Q0kQK9	192.168.144.131	61052	192.168.144.133	27353	tcp	-	0.000711	0	0	RSTRH	T	T	0	r	1	40	1	40	-
1689697210.582552	Cx96DP4zAYEb3gOLj	192.168.144.131	61052	192.168.144.133	3017	tcp	-	0.000888	0	0	RSTRH	T	T	0	r	1	40	1	40	-
1689697210.583129	CgjZ033soZMVdvVO9	192.168.144.131	61052	192.168.144.133	7921	tcp	-	0.000453	0	0	RSTRH	T	T	0	r	1	40	1	40	-
1689697210.582859	C6Nmn72GWP06CptEa2	192.168.144.131	61052	192.168.144.133	6789	tcp	-	0.000723	0	0	RSTRH	T	T	0	r	1	40	1	40	-
1689697210.583011	CA9rf54lLMbSCODric	192.168.144.131	61052	192.168.144.133	1972	tcp	-	0.000571	0	0	RSTRH	T	T	0	r	1	40	1	40	-
1689697210.583011	CUG90jBpagevWMja2	192.168.144.131	61052	192.168.144.133	2161	tcp	-	0.000571	0	0	RSTRH	T	T	0	r	1	40	1	40	-
1689697210.583287	CVY8ZN1jXezaNRssHf	192.168.144.131	61052	192.168.144.133	42	tcp	-	0.000413	0	0	RSTRH	T	T	0	r	1	40	1	40	-
1689697210.583581	Ca7hZ21iGznlF3pnoc	192.168.144.131	61052	192.168.144.133	6502	tcp	-	0.000246	0	0	RSTRH	T	T	0	r	1	40	1	40	-
1689697210.583827	CtRJJT1CfesJt3B079	192.168.144.131	61052	192.168.144.133	3268	tcp	-	0.000122	0	0	RSTRH	T	T	0	r	1	40	1	40	-
1689697210.583950	CFRK001sswrRqwHhRc	192.168.144.131	61052	192.168.144.133	1059	tcp	-	0.000112	0	0	RSTRH	T	T	0	r	1	40	1	40	-
1689697210.584062	CrkWsc3mKw5tqQ6DBj	192.168.144.131	61052	192.168.144.133	5810	tcp	-	0.000096	0	0	RSTRH	T	T	0	r	1	40	1	40	-
1689697210.584459	CeB1BY2BXGDwb8LOW9	192.168.144.131	61052	192.168.144.133	5061	tcp	-	0.002001	0	0	RSTRH	T	T	0	r	1	40	1	40	-
1689697210.584459	C2EFdd3IL4oJ3NgSa7	192.168.144.131	61052	192.168.144.133	2710	tcp	-	0.002002	0	0	RSTRH	T	T	0	r	1	40	1	40	-
1689697210.584663	CKq1Z522TAmRzoTtKk	192.168.144.131	61052	192.168.144.133	6	tcp	-	0.001923	0	0	RSTRH	T	T	0	r	1	40	1	40	-
1689697210.586587	Ck7rum2nC8Djrl6H46	192.168.144.131	61052	192.168.144.133	17	tcp	-	-	-	-	RSTRH	T	T	0	r	1	40	1	40	-
1689697210.586587	CL42A422rdA9hE1Ct2	192.168.144.131	61052	192.168.144.133	306	tcp	-	-	-	-	RSTRH	T	T	0	r	1	40	1	40	-
1689697210.586587	CxLGJO28TxA7zq666	192.168.144.131	61052	192.168.144.133	2869	tcp	-	0.000005	0	0	RSTRH	T	T	0	r	1	40	1	40	-
1689697210.586587	C7YxnuzCiRKBFslpe	192.168.144.131	61052	192.168.144.133	2126	tcp	-	0.000005	0	0	RSTRH	T	T	0	r	1	40	1	40	-
1689697210.586587	CMMmAxevRwVZqIlbf	192.168.144.131	61052	192.168.144.133	2049	tcp	-	0.000005	0	0	RSTRH	T	T	0	r	1	40	1	40	-
1689697210.586593	CKKdWf4PcEvFVzz8ca	192.168.144.131	61052	192.168.144.133	5998	tcp	-	-	-	-	RSTRH	T	T	0	r	1	40	1	40	-
1689697210.586592	CZbznmBUbmDbP0R21	192.168.144.131	61052	192.168.144.133	32783	tcp	-	0.000001	0	0	RSTRH	T	T	0	r	1	40	1	40	-
1689697210.586593	CgBWlt1ckfn2KeNpua	192.168.144.131	61052	192.168.144.133	30718	tcp	-	0.000199	0	0	RSTRH	T	T	0	r	1	40	1	40	-
1689697210.586709	C2r4eJ3wZtbNTnyD48	192.168.144.131	61052	192.168.144.133	4126	tcp	-	0.000083	0	0	RSTRH	T	T	0	r	1	40	1	40	-
1689697210.586888	CCInyk1V2lQ3emNhl5	192.168.144.131	61052	192.168.144.133	4550	tcp	-	0.000082	0	0	RSTRH	T	T	0	r	1	40	1	40	-
1689697210.587245	CzIGBB4FPBYGWiixA9	192.168.144.131	61052	192.168.144.133	1244	tcp	-	0.000115	0	0	RSTRH	T	T	0	r	1	40	1	40	-
1689697210.587246	CJcQQy43ONYBuRklq6	192.168.144.131	61052	192.168.144.133	3986	tcp	-	0.000231	0	0	RSTRH	T	T	0	r	1	40	1	40	-
1689697210.587359	CYxLHY13g4vG0Wmplb	192.168.144.131	61052	192.168.144.133	5802	tcp	-	0.000119	0	0	RSTRH	T	T	0	r	1	40	1	40	-
1689697210.587478	Cs8ncf3P4qQYzY3BYc	192.168.144.131	61052	192.168.144.133	10000	tcp	-	0.000266	0	0	RSTRH	T	T	0	r	1	40	1	40	-
1689697210.587745	Cyweo24TZz4lwGhzC3	192.168.144.131	61052	192.168.144.133	2179	tcp	-	0.000224	0	0	RSTRH	T	T	0	r	1	40	1	40	-
1689697210.587970	C2hxdI1oPFaZQCY41f	192.168.144.131	61052	192.168.144.133	10002	tcp	-	-	-	-	RSTRH	T	T	0	r	1	40	1	40	-
1689697205.588058	CDW2Wo4VOGrowSXkKg	192.168.144.138	56616	192.168.144.2	53	udp	dns	0.007559	0	85	SHR	T	T	0	Cd	0	0	1	113	-
1689697210.587970	CMm3C03Siq7UNkbUzl	192.168.144.131	61052	192.168.144.133	10010	tcp	-	0.000272	0	0	RSTRH	T	T	0	r	1	40	1	40	-
1689697210.588242	CjNJqW2ELA1WUFRzd7	192.168.144.131	61052	192.168.144.133	8193	tcp	-	0.000097	0	0	RSTRH	T	T	0	r	1	40	1	40	-
1689697210.590913	CbtWeB1CugVSZrqEe8	192.168.144.131	61052	192.168.144.133	4445	tcp	-	0.003561	0	0	RSTRH	T	T	0	r	1	40	1	40	-
1689697210.590911	CAQBmia8XVzSfEPRe	192.168.144.131	61052	192.168.144.133	1137	tcp	-	0.003563	0	0	RSTRH	T	T	0	r	1	40	1	40	-
1689697210.594475	CKmaHV3vYsNwerykBe	192.168.144.131	61052	192.168.144.133	1192	tcp	-	-	-	-	RSTRH	T	T	0	r	1	40	1	40	-
1689697210.594473	CTN6054TFBHDBjerjk	192.168.144.131	61052	192.168.144.133	50000	tcp	-	0.000002	0	0	RSTRH	T	T	0	r	1	40	1	40	-
1689697210.594475	CQfGzs1oBFVNoTL6dg	192.168.144.131	61052	192.168.144.133	1098	tcp	-	0.000033	0	0	RSTRH	T	T	0	r	1	40	1	40	-
1689697210.594475	CYLvAa17YIqFKVFpdg	192.168.144.131	61052	192.168.144.133	5440	tcp	-	0.000033	0	0	RSTRH	T	T	0	r	1	40	1	40	-
1689697210.594507	Co99l01K2hNr9n37D5	192.168.144.131	61052	192.168.144.133	5915	tcp	-	0.000001	0	0	RSTRH	T	T	0	r	1	40	1	40	-
1689697210.594509	CaZmtm1TOGC9RCLZi7	192.168.144.131	61052	192.168.144.133	6510	tcp	-	0.000020	0	0	RSTRH	T	T	0	r	1	40	1	40	-
1689697210.594509	Cs0CwOziE1HzchNX	192.168.144.131	61052	192.168.144.133	2004	tcp	-	0.000020	0	0	RSTRH	T	T	0	r	1	40	1	40	-
1689697210.594509	CHWLiB4PMhqIzHhK8g	192.168.144.131	61052	192.168.144.133	9998	tcp	-	0.000021	0	0	RSTRH	T	T	0	r	1	40	1	40	-
