ts	uid	id.orig_h	id.orig_p	id.resp_h	id.resp_p	version	mode	stratum	poll	precision	root_delay	root_disp	ref_id	ref_time	org_time	rec_time	xmt_time	num_exts
1689697084.287310	CeKhaM1GyxM8WYQOmc	192.168.144.131	48257	185.125.190.56	123	4	3	0	1.000000	1.000000	0.000000	0.000000	\x00\x00\x00\x00	0.000000	0.000000	0.000000	1689697084.109547	0
1689697084.382229	CeKhaM1GyxM8WYQOmc	192.168.144.131	48257	185.125.190.56	123	4	4	2	1.000000	0.000000	0.008850	0.002014	145.238.203.14	1689696530.503045	1689697084.109547	1689697084.298905	1689697084.298923	0
1689697096.050566	C8heAZYf7EwnCAktd	192.168.144.133	57279	91.189.94.4	123	4	3	0	1.000000	1.000000	0.000000	0.000000	\x00\x00\x00\x00	0.000000	0.000000	0.000000	1689697096.001340	0
1689697096.160700	C8heAZYf7EwnCAktd	192.168.144.133	57279	91.189.94.4	123	4	4	2	8.000000	0.000000	0.008331	0.028839	145.238.203.14	1689696256.167948	1689697096.001340	1689697096.086448	1689697096.086488	0
1689697116.759388	C8adye1VFewpOnIY2b	192.168.144.131	57291	185.125.190.56	123	4	3	0	1.000000	1.000000	0.000000	0.000000	\x00\x00\x00\x00	0.000000	0.000000	0.000000	1689697116.167650	0
1689697116.846553	C8adye1VFewpOnIY2b	192.168.144.131	57291	185.125.190.56	123	4	4	2	1.000000	0.000000	0.008850	0.002045	145.238.203.14	1689696530.503045	1689697116.167650	1689697116.766810	1689697116.766819	0
1689697181.007146	CJ0eqp22py2gdHDBba	192.168.144.131	44236	185.125.190.56	123	4	3	0	1.000000	1.000000	0.000000	0.000000	\x00\x00\x00\x00	0.000000	0.000000	0.000000	1689697180.225882	0
1689697181.112767	CJ0eqp22py2gdHDBba	192.168.144.131	44236	185.125.190.56	123	4	4	2	1.000000	0.000000	0.008850	0.002121	145.238.203.14	1689696530.503045	1689697180.225882	1689697181.034793	1689697181.034815	0
