ts	id	hashAlgorithm	issuerNameHash	issuerKeyHash	serialNumber	certStatus	revoketime	revokereason	thisUpdate	nextUpdate
1689231954.932586	FFSG1O3Wpr1Udm6H22	sha1	48DAC9A0FB2BD32D4FF0DE68D2F567B735F9B3C4	142EB317B75856CBAE500940E61FAF9D8B14C2C6	03E693B7AF18311C9DE7F3FD77F5B19C33D6	good	-	-	1689080400.000000	1689685198.000000
1689231955.413558	Fw20nK3g2JPg3oqGS2	sha1	48DAC9A0FB2BD32D4FF0DE68D2F567B735F9B3C4	142EB317B75856CBAE500940E61FAF9D8B14C2C6	041DE4B7D9752BB6EE6538C7289923F2A644	good	-	-	1689001200.000000	1689605998.000000
1689231956.115151	F3ZRjq2g8mGyOIY3r	sha1	48DAC9A0FB2BD32D4FF0DE68D2F567B735F9B3C4	142EB317B75856CBAE500940E61FAF9D8B14C2C6	04F81A24CC2B5086EF0352E33D0314A21750	good	-	-	1689188400.000000	1689793198.000000
1689231956.209712	Fe0njuJ3r4oyA4gR5	sha1	48DAC9A0FB2BD32D4FF0DE68D2F567B735F9B3C4	142EB317B75856CBAE500940E61FAF9D8B14C2C6	03200E4157C6EE635C608676376A0A5064A8	good	-	-	1689001200.000000	1689605998.000000
1689231956.422411	FKLs9I1nrvyttsSUDk	sha1	E4E395A229D3D4C1C31FF0980C0B4EC0098AABD8	B76BA2EAA8AA848C79EAB4DA0F98B2C59576B9F4	06C80373B90643F61EA160E2BE7D0300	good	-	-	1689163022.000000	1689765122.000000
1689231956.425585	FLBqIv1YhSRyQU6Vh6	sha1	E4E395A229D3D4C1C31FF0980C0B4EC0098AABD8	B76BA2EAA8AA848C79EAB4DA0F98B2C59576B9F4	06C80373B90643F61EA160E2BE7D0300	good	-	-	1689163022.000000	1689765122.000000
1689231956.459771	F8Ycfb1tcOaTK4Iym6	sha1	48DAC9A0FB2BD32D4FF0DE68D2F567B735F9B3C4	142EB317B75856CBAE500940E61FAF9D8B14C2C6	03886F4615E32C305C93CF874AF6C447E96A	good	-	-	1689012000.000000	1689616798.000000
1689231956.868309	FGqESy4WJKZVVZFGXl	sha1	48DAC9A0FB2BD32D4FF0DE68D2F567B735F9B3C4	142EB317B75856CBAE500940E61FAF9D8B14C2C6	03C5B56C390D79B2B108DA457AE7BEA30EF8	good	-	-	1689048000.000000	1689652798.000000
1689231957.056095	FphHuv35zjaGJvyhI3	sha1	C72E798ADDFF6134B3BAED4742B8BBC6C0240763	8A747FAF85CDEE95CD3D9CD0E24614F371351D27	BBA2F6011327B8B012A3CC3D9E8A659D	good	-	-	1689147744.000000	1689748943.000000
1689231965.324452	FwObQg1HXbdhVzkMV	sha1	E4E395A229D3D4C1C31FF0980C0B4EC0098AABD8	B76BA2EAA8AA848C79EAB4DA0F98B2C59576B9F4	073D9B462D83FF3A9EBE70BDF1F79FD2	good	-	-	1689165541.000000	1689767641.000000
